emisora,fecha,hora,descripcion,titulos,precio,tasa,plazo,intereses,impuestos,comision,importe,saldo
GBMF2 BF,02/10/20,1:11:00,Compra Soc.de Inv.- Cliente             ,36584.00,36.90,0.00,0.00,0.00,0.00,0.00,1350022.88,-1349993.90
TSLA *,02/10/20,2:15:43,Compra de Acciones.,10.00,9085.00,0.00,0.00,0.00,36.34,227.13,91113.47,-1441107.37
NVDA *,02/10/20,2:15:56,Compra de Acciones.,18.00,11400.00,0.00,0.00,0.00,82.08,513.00,205795.08,-1646902.45
AAPL *,02/10/20,2:15:56,Compra de Acciones.,82.00,2458.00,0.00,0.00,0.00,80.62,503.89,202140.51,-1849042.96
AMZN *,02/10/20,2:18:02,Compra de Acciones.,2.00,68054.24,0.00,0.00,0.00,54.44,340.27,136503.19,-1985546.15
MSFT *,02/10/20,2:18:32,Compra de Acciones.,6.00,4512.00,0.00,0.00,0.00,10.83,67.68,27150.51,-2012696.66
FB *,02/10/20,2:19:33,Compra de Acciones.,12.00,5669.78,0.00,0.00,0.00,27.21,170.09,68234.67,-2080931.33
PYPL *,02/10/20,2:20:00,Compra de Acciones.,16.00,4190.00,0.00,0.00,0.00,26.82,167.60,67234.42,-2148165.75
NFLX *,02/10/20,2:21:02,Compra de Acciones.,6.00,10987.00,0.00,0.00,0.00,26.37,164.81,66113.17,-2214278.92
ZM *,02/10/20,2:23:22,Compra de Acciones.,14.00,10506.00,0.00,0.00,0.00,58.83,367.71,147510.54,-2361789.47
FDX *,02/10/20,2:24:13,Compra de Acciones.,24.00,5578.63,0.00,0.00,0.00,53.55,334.72,134275.39,-2496064.86
PTON *,02/10/20,2:41:24,Compra de Acciones.,46.00,2369.99,0.00,0.00,0.00,43.61,272.55,109335.70,-2605400.55
GBMF2 BF,06/10/20,7:42:41,Venta Soc.de Inv.- Cliente              ,34014.00,36.91,0.00,0.00,0.00,0.00,0.00,1255406.54,-1349994.02
GBMF2 BF,06/10/20,12:18:46,Venta Soc.de Inv.- Cliente              ,1491.00,36.91,0.00,0.00,0.00,0.00,0.00,55030.61,-1294963.41
AAPL *,12/10/20,1:44:18,Venta de Acciones.,70.00,2638.00,0.00,0.00,0.00,59.09,369.32,184231.59,-1110731.82
AMZN *,12/10/20,1:45:16,Venta de Acciones.,2.00,73964.97,0.00,0.00,0.00,47.34,295.86,147586.74,-963145.08
FB *,12/10/20,1:45:42,Venta de Acciones.,5.00,5921.11,0.00,0.00,0.00,9.47,59.21,29536.87,-933608.21
FB *,12/10/20,1:45:52,Venta de Acciones.,7.00,5921.00,0.00,0.00,0.00,13.26,82.89,41350.84,-892257.37
MSFT *,12/10/20,1:47:29,Venta de Acciones.,3.00,4734.01,0.00,0.00,0.00,4.54,28.40,14169.08,-878088.29
NFLX *,12/10/20,1:48:21,Venta de Acciones.,3.00,11620.00,0.00,0.00,0.00,11.16,69.72,34779.12,-843309.16
FDX *,12/10/20,1:49:30,Venta de Acciones.,2.00,5780.00,0.00,0.00,0.00,3.70,23.12,11533.18,-831775.98
NVDA *,12/10/20,1:49:31,Venta de Acciones.,13.00,12150.00,0.00,0.00,0.00,50.54,315.90,157583.56,-674192.43
PTON *,12/10/20,1:49:40,Venta de Acciones.,10.00,2712.25,0.00,0.00,0.00,8.68,54.25,27059.58,-647132.85
PTON *,12/10/20,1:49:40,Venta de Acciones.,10.00,2712.25,0.00,0.00,0.00,8.68,54.25,27059.58,-620073.28
PTON *,12/10/20,1:49:40,Venta de Acciones.,20.00,2712.25,0.00,0.00,0.00,17.36,108.49,54119.15,-565954.12
PYPL *,12/10/20,1:50:24,Venta de Acciones.,16.00,4325.00,0.00,0.00,0.00,22.14,138.40,69039.46,-496914.67
TSLA *,12/10/20,1:51:48,Venta de Acciones.,10.00,9500.00,0.00,0.00,0.00,30.40,190.00,94779.60,-402135.07
ZM *,12/10/20,1:51:53,Venta de Acciones.,14.00,10630.00,0.00,0.00,0.00,47.62,297.64,148474.74,-253660.33
FDX *,12/10/20,1:54:36,Venta de Acciones.,2.00,5780.00,0.00,0.00,0.00,3.70,23.12,11533.18,-242127.15
