fecha,producto,calidad,presentacion,entidad_origen,precio_min,precio_max,precio_mod,observ,clasif,mercado,entidad_destino
04/01/21,Aguacate Hass,Primera,Caja de 9 kg.,Jalisco,28.89,33.00,28.89,,Frutas,Mercado de Abasto de Guadalajara,Jalisco
04/01/21,Aguacate Hass,Primera,Caja de 9 kg.,Michoacán,37.78,40.00,37.78,,Frutas,Mercado de Abasto de Guadalajara,Jalisco
04/01/21,Fresa,Primera,Caja de 5 kg.,Importación,54.00,56.00,54.00,SELECCIONADA,Frutas,Mercado de Abasto de Guadalajara,Jalisco
04/01/21,Fresa,Primera,Caja de 8 kg.,Michoacán,41.25,42.50,41.25,,Frutas,Mercado de Abasto de Guadalajara,Jalisco
04/01/21,Limón c/semilla # 5,Primera,Caja de 15 kg.,Colima,16.67,17.33,16.67,,Frutas,Mercado de Abasto de Guadalajara,Jalisco
04/01/21,Limón s/semilla,Primera,Caja de 25 kg.,Veracruz,10.00,12.00,10.00,,Frutas,Mercado de Abasto de Guadalajara,Jalisco
04/01/21,Manzana Golden Delicious,Sin clasificar,Caja de 17 kg.,Importación,48.82,50.00,48.82,USA,Frutas,Mercado de Abasto de Guadalajara,Jalisco
04/01/21,Manzana Red Delicious,Primera,Caja de 22 kg.,Chihuahua,12.50,12.95,12.50,,Frutas,Mercado de Abasto de Guadalajara,Jalisco
04/01/21,Manzana Red Delicious,Primera,Caja de 17 kg.,Importación,38.24,42.94,38.24,USA,Frutas,Mercado de Abasto de Guadalajara,Jalisco
04/01/21,Manzana Starking,Primera,Caja de 17 kg.,Importación,32.35,35.29,32.35,USA,Frutas,Mercado de Abasto de Guadalajara,Jalisco
04/01/21,Naranja Valencia grande,Primera,Kilogramo,Nuevo León,9.00,12.00,9.00,,Frutas,Mercado de Abasto de Guadalajara,Jalisco
04/01/21,Papaya Maradol,Primera,Kilogramo,Colima,14.00,14.50,14.00,,Frutas,Mercado de Abasto de Guadalajara,Jalisco
04/01/21,Papaya Maradol,Primera,Kilogramo,Chiapas,24.00,28.00,24.00,,Frutas,Mercado de Abasto de Guadalajara,Jalisco
04/01/21,Papaya Maradol,Primera,Kilogramo,Jalisco,14.00,14.50,14.00,,Frutas,Mercado de Abasto de Guadalajara,Jalisco
04/01/21,Piña grande,Primera,Caja de 11 kg.,Nayarit,19.09,19.55,19.09,CALIDAD DE EXPORTACIÓN (PIÑA MIEL),Frutas,Mercado de Abasto de Guadalajara,Jalisco
04/01/21,Piña grande,Primera,Kilogramo,Veracruz,13.00,13.50,13.00,,Frutas,Mercado de Abasto de Guadalajara,Jalisco
04/01/21,Plátano Chiapas calidad exportación,Primera,Caja de 18 kg.,Chiapas,14.44,16.00,14.44,,Frutas,Mercado de Abasto de Guadalajara,Jalisco
04/01/21,Plátano Dominico,Primera,Kilogramo,Veracruz,9.50,10.00,9.50,,Frutas,Mercado de Abasto de Guadalajara,Jalisco
04/01/21,Plátano Macho,Primera,Kilogramo,Veracruz,16.00,16.50,16.00,,Frutas,Mercado de Abasto de Guadalajara,Jalisco
04/01/21,Plátano Tabasco,Primera,Kilogramo,Colima,7.00,7.50,7.00,,Frutas,Mercado de Abasto de Guadalajara,Jalisco
04/01/21,Toronja Roja,Primera,Kilogramo,Michoacán,12.00,15.00,12.00,,Frutas,Mercado de Abasto de Guadalajara,Jalisco
04/01/21,Caña,Primera,Rollo de 20 pzas.,Jalisco,4.00,4.50,4.00,,Frutas de Temporada,Mercado de Abasto de Guadalajara,Jalisco
04/01/21,Ciruela Roja,Primera,Caja de 9 kg.,Importación,55.56,61.11,55.56,,Frutas de Temporada,Mercado de Abasto de Guadalajara,Jalisco
04/01/21,Coco,Primera,Pieza,Michoacán,19.00,20.00,19.00,,Frutas de Temporada,Mercado de Abasto de Guadalajara,Jalisco
04/01/21,Durazno Amarillo,Primera,Caja de 11 kg.,Michoacán,34.55,35.45,34.55,,Frutas de Temporada,Mercado de Abasto de Guadalajara,Jalisco
04/01/21,Durazno Melocotón,Primera,Caja de 16 kg.,Importación,43.75,44.06,43.75,,Frutas de Temporada,Mercado de Abasto de Guadalajara,Jalisco
04/01/21,Guayaba,Primera,Caja de 10 kg.,Michoacán,12.50,13.00,12.50,,Frutas de Temporada,Mercado de Abasto de Guadalajara,Jalisco
04/01/21,Kiwi,Primera,Caja de 10 kg.,Importación,56.00,65.00,56.00,,Frutas de Temporada,Mercado de Abasto de Guadalajara,Jalisco
04/01/21,Lima,Primera,Kilogramo,Jalisco,19.00,20.00,19.00,,Frutas de Temporada,Mercado de Abasto de Guadalajara,Jalisco
04/01/21,Mandarina,Primera,Caja de 32 kg.,Veracruz,6.56,6.72,6.56,,Frutas de Temporada,Mercado de Abasto de Guadalajara,Jalisco
04/01/21,Pera D´anjou # 100,Primera,Caja de 20 kg.,Importación,35.00,37.00,35.00,USA,Frutas de Temporada,Mercado de Abasto de Guadalajara,Jalisco
04/01/21,Tamarindo,Primera,Kilogramo,Colima,17.00,18.00,17.00,,Frutas de Temporada,Mercado de Abasto de Guadalajara,Jalisco
04/01/21,Tejocote,Primera,Caja de 18 kg.,Puebla,13.06,13.61,13.06,,Frutas de Temporada,Mercado de Abasto de Guadalajara,Jalisco
04/01/21,Uva Flame,Primera,Caja de 8 kg.,Importación,43.75,45.00,43.75,,Frutas de Temporada,Mercado de Abasto de Guadalajara,Jalisco
04/01/21,Uva Globo,Primera,Caja de 8 kg.,Importación,62.50,71.25,62.50,,Frutas de Temporada,Mercado de Abasto de Guadalajara,Jalisco
04/01/21,Uva Perlette,Primera,Caja de 8 kg.,Importación,55.00,56.25,55.00,,Frutas de Temporada,Mercado de Abasto de Guadalajara,Jalisco
04/01/21,Uva Superior,Primera,Caja de 8 kg.,Importación,68.75,72.50,68.75,,Frutas de Temporada,Mercado de Abasto de Guadalajara,Jalisco
04/01/21,Ajo Blanco,Primera,Caja de 10 kg.,Importación,87.00,88.00,87.00,JASPEADO,Hortalizas,Mercado de Abasto de Guadalajara,Jalisco
04/01/21,Apio,Primera,Caja de 25 kg.,Guanajuato,11.60,12.00,11.60,,Hortalizas,Mercado de Abasto de Guadalajara,Jalisco
04/01/21,Betabel,Primera,Kilogramo,Jalisco,15.00,16.00,15.00,MANOJO,Hortalizas,Mercado de Abasto de Guadalajara,Jalisco
04/01/21,Brócoli,Primera,Kilogramo,Jalisco,9.00,9.50,9.00,,Hortalizas,Mercado de Abasto de Guadalajara,Jalisco
04/01/21,Cacahuate,Primera,Kilogramo,Nayarit,36.00,38.00,36.00,,Hortalizas,Mercado de Abasto de Guadalajara,Jalisco
04/01/21,Calabacita Italiana,Primera,Caja de 15 kg.,Jalisco,8.00,8.33,8.00,,Hortalizas,Mercado de Abasto de Guadalajara,Jalisco
04/01/21,Calabacita Italiana,Primera,Caja de 11 kg.,Puebla,10.00,10.91,10.00,SELECCIONADA,Hortalizas,Mercado de Abasto de Guadalajara,Jalisco
04/01/21,Calabacita Italiana,Primera,Caja de 20 kg.,Puebla,10.00,11.00,10.00,SELECCIONADA (CAJA DE CARTÓN),Hortalizas,Mercado de Abasto de Guadalajara,Jalisco
04/01/21,Camote,Primera,Kilogramo,Michoacán,12.00,13.00,12.00,,Hortalizas,Mercado de Abasto de Guadalajara,Jalisco
04/01/21,Cebolla Bola,Primera,Arpilla de 30 kg.,Importación,12.00,13.00,12.00,,Hortalizas,Mercado de Abasto de Guadalajara,Jalisco
04/01/21,Cebolla de rabo,Primera,Rollo de 25 kg.,Jalisco,7.00,8.00,7.00,,Hortalizas,Mercado de Abasto de Guadalajara,Jalisco
04/01/21,Cebolla Morada,Primera,Arpilla de 30 kg.,Michoacán,15.00,18.00,15.00,,Hortalizas,Mercado de Abasto de Guadalajara,Jalisco
04/01/21,Cilantro,Primera,Kilogramo,Jalisco,15.00,16.00,15.00,MANOJO,Hortalizas,Mercado de Abasto de Guadalajara,Jalisco
04/01/21,Col mediana,Primera,Kilogramo,Michoacán,4.00,4.50,4.00,,Hortalizas,Mercado de Abasto de Guadalajara,Jalisco
04/01/21,Aguacate Hass,Primera,Caja de 9 kg.,Jalisco,31.11,31.11,31.11,,Frutas,Mercado Felipe Ángeles de Guadalajara,Jalisco
04/01/21,Aguacate Hass,Primera,Caja de 9 kg.,Michoacán,38.89,38.89,38.89,,Frutas,Mercado Felipe Ángeles de Guadalajara,Jalisco
04/01/21,Fresa,Primera,Caja de 5 kg.,Importación,55.00,55.00,55.00,SELECCIONADA,Frutas,Mercado Felipe Ángeles de Guadalajara,Jalisco
04/01/21,Fresa,Primera,Caja de 8 kg.,Michoacán,41.88,41.88,41.88,,Frutas,Mercado Felipe Ángeles de Guadalajara,Jalisco
04/01/21,Limón c/semilla # 5,Primera,Caja de 15 kg.,Colima,17.00,17.00,17.00,,Frutas,Mercado Felipe Ángeles de Guadalajara,Jalisco
04/01/21,Limón s/semilla,Primera,Caja de 25 kg.,Veracruz,11.00,11.00,11.00,,Frutas,Mercado Felipe Ángeles de Guadalajara,Jalisco
04/01/21,Manzana Golden Delicious,Primera,Caja de 17 kg.,Importación,49.41,49.41,49.41,USA,Frutas,Mercado Felipe Ángeles de Guadalajara,Jalisco
04/01/21,Manzana Red Delicious,Primera,Caja de 22 kg.,Chihuahua,12.73,12.73,12.73,,Frutas,Mercado Felipe Ángeles de Guadalajara,Jalisco
04/01/21,Manzana Red Delicious,Primera,Caja de 17 kg.,Importación,40.59,40.59,40.59,USA,Frutas,Mercado Felipe Ángeles de Guadalajara,Jalisco
04/01/21,Manzana Starking,Primera,Caja de 17 kg.,Importación,33.82,33.82,33.82,USA,Frutas,Mercado Felipe Ángeles de Guadalajara,Jalisco
04/01/21,Naranja Valencia grande,Primera,Kilogramo,Nuevo León,10.50,10.50,10.50,,Frutas,Mercado Felipe Ángeles de Guadalajara,Jalisco
04/01/21,Papaya Maradol,Primera,Kilogramo,Colima,14.50,14.50,14.50,,Frutas,Mercado Felipe Ángeles de Guadalajara,Jalisco
04/01/21,Papaya Maradol,Primera,Kilogramo,Chiapas,26.00,26.00,26.00,,Frutas,Mercado Felipe Ángeles de Guadalajara,Jalisco
04/01/21,Papaya Maradol,Primera,Kilogramo,Jalisco,14.50,14.50,14.50,,Frutas,Mercado Felipe Ángeles de Guadalajara,Jalisco
04/01/21,Piña grande,Primera,Caja de 11 kg.,Nayarit,19.55,19.55,19.55,CALIDAD DE EXPORTACIÓN (PIÑA MIEL),Frutas,Mercado Felipe Ángeles de Guadalajara,Jalisco
04/01/21,Piña grande,Primera,Kilogramo,Veracruz,13.50,13.50,13.50,,Frutas,Mercado Felipe Ángeles de Guadalajara,Jalisco
04/01/21,Plátano Chiapas calidad exportación,Primera,Caja de 18 kg.,Chiapas,15.28,15.28,15.28,,Frutas,Mercado Felipe Ángeles de Guadalajara,Jalisco
04/01/21,Plátano Dominico,Primera,Kilogramo,Veracruz,9.80,9.80,9.80,,Frutas,Mercado Felipe Ángeles de Guadalajara,Jalisco
04/01/21,Plátano Macho,Primera,Kilogramo,Veracruz,16.50,16.50,16.50,,Frutas,Mercado Felipe Ángeles de Guadalajara,Jalisco
04/01/21,Plátano Tabasco,Primera,Kilogramo,Colima,7.50,7.50,7.50,,Frutas,Mercado Felipe Ángeles de Guadalajara,Jalisco
04/01/21,Toronja Roja,Primera,Kilogramo,Michoacán,13.50,13.50,13.50,,Frutas,Mercado Felipe Ángeles de Guadalajara,Jalisco
04/01/21,Caña,Primera,Rollo de 20 pzas.,Jalisco,4.25,4.25,4.25,,Frutas de Temporada,Mercado Felipe Ángeles de Guadalajara,Jalisco
04/01/21,Ciruela Roja,Primera,Caja de 9 kg.,Importación,58.33,58.33,58.33,,Frutas de Temporada,Mercado Felipe Ángeles de Guadalajara,Jalisco
04/01/21,Coco,Primera,Pieza,Michoacán,19.50,19.50,19.50,,Frutas de Temporada,Mercado Felipe Ángeles de Guadalajara,Jalisco
04/01/21,Durazno Amarillo,Primera,Caja de 11 kg.,Michoacán,35.00,35.00,35.00,,Frutas de Temporada,Mercado Felipe Ángeles de Guadalajara,Jalisco
04/01/21,Durazno Melocotón,Primera,Caja de 16 kg.,Importación,43.94,43.94,43.94,,Frutas de Temporada,Mercado Felipe Ángeles de Guadalajara,Jalisco
04/01/21,Guayaba,Primera,Caja de 10 kg.,Michoacán,12.80,12.80,12.80,,Frutas de Temporada,Mercado Felipe Ángeles de Guadalajara,Jalisco
04/01/21,Kiwi,Primera,Caja de 10 kg.,Importación,60.00,60.00,60.00,,Frutas de Temporada,Mercado Felipe Ángeles de Guadalajara,Jalisco
04/01/21,Lima,Primera,Kilogramo,Jalisco,19.50,19.50,19.50,,Frutas de Temporada,Mercado Felipe Ángeles de Guadalajara,Jalisco
04/01/21,Mandarina,Primera,Caja de 32 kg.,Veracruz,6.66,6.66,6.66,,Frutas de Temporada,Mercado Felipe Ángeles de Guadalajara,Jalisco
04/01/21,Pera D´anjou # 100,Primera,Caja de 20 kg.,Importación,36.00,36.00,36.00,USA,Frutas de Temporada,Mercado Felipe Ángeles de Guadalajara,Jalisco
04/01/21,Tamarindo,Primera,Kilogramo,Colima,17.50,17.50,17.50,,Frutas de Temporada,Mercado Felipe Ángeles de Guadalajara,Jalisco
04/01/21,Tejocote,Primera,Caja de 18 kg.,Puebla,13.33,13.33,13.33,,Frutas de Temporada,Mercado Felipe Ángeles de Guadalajara,Jalisco
04/01/21,Uva Flame,Primera,Caja de 8 kg.,Importación,44.38,44.38,44.38,,Frutas de Temporada,Mercado Felipe Ángeles de Guadalajara,Jalisco
04/01/21,Uva Globo,Primera,Caja de 8 kg.,Importación,67.50,67.50,67.50,,Frutas de Temporada,Mercado Felipe Ángeles de Guadalajara,Jalisco
04/01/21,Uva Perlette,Primera,Caja de 8 kg.,Importación,55.63,55.63,55.63,,Frutas de Temporada,Mercado Felipe Ángeles de Guadalajara,Jalisco
04/01/21,Uva Superior,Primera,Caja de 8 kg.,Importación,70.63,70.63,70.63,,Frutas de Temporada,Mercado Felipe Ángeles de Guadalajara,Jalisco
04/01/21,Ajo Blanco,Primera,Caja de 10 kg.,Importación,87.50,87.50,87.50,JASPEADO,Hortalizas,Mercado Felipe Ángeles de Guadalajara,Jalisco
04/01/21,Apio,Primera,Caja de 25 kg.,Guanajuato,11.80,11.80,11.80,,Hortalizas,Mercado Felipe Ángeles de Guadalajara,Jalisco
04/01/21,Betabel,Primera,Kilogramo,Jalisco,15.00,15.00,15.00,MANOJO,Hortalizas,Mercado Felipe Ángeles de Guadalajara,Jalisco
04/01/21,Brócoli,Primera,Kilogramo,Jalisco,9.50,9.50,9.50,,Hortalizas,Mercado Felipe Ángeles de Guadalajara,Jalisco
