fecha,tuits_negativos,indice,recoleccion_promedio,tipo_usuario,lugar,tuits_positivos
28/12/15,5691.00,3.13,7827.67,todos,JAL,17792.00
04/01/16,16438.00,2.74,8762.00,todos,JAL,44896.00
11/01/16,16597.00,2.58,8488.00,todos,JAL,42819.00
18/01/16,15451.00,2.67,8058.57,todos,JAL,40959.00
25/01/16,15644.00,2.66,8162.57,todos,JAL,41494.00
01/02/16,14979.00,2.69,7862.43,todos,JAL,40058.00
08/02/16,15688.00,3.06,9094.43,todos,JAL,47973.00
15/02/16,16592.00,2.63,8575.14,todos,JAL,43434.00
22/02/16,14762.00,2.60,7538.29,todos,JAL,38006.00
29/02/16,15361.00,2.86,8441.29,todos,JAL,43728.00
07/03/16,17325.00,2.61,8803.43,todos,JAL,44299.00
14/03/16,17015.00,2.57,8632.00,todos,JAL,43409.00
21/03/16,14811.00,2.87,8121.00,todos,JAL,42036.00
28/03/16,17625.00,2.41,8583.43,todos,JAL,42459.00
04/04/16,19469.00,2.28,9113.14,todos,JAL,44323.00
11/04/16,17547.00,2.51,8780.71,todos,JAL,43918.00
18/04/16,17103.00,2.49,8524.00,todos,JAL,42565.00
25/04/16,18004.00,2.54,9027.00,todos,JAL,45185.00
02/05/16,17362.00,2.83,9500.71,todos,JAL,49143.00
09/05/16,19047.00,2.53,9484.14,todos,JAL,47342.00
16/05/16,18065.00,2.34,8605.71,todos,JAL,42175.00
23/05/16,18176.00,2.31,8592.29,todos,JAL,41970.00
30/05/16,19653.00,2.52,9848.86,todos,JAL,49289.00
06/06/16,18095.00,2.79,9746.14,todos,JAL,50128.00
13/06/16,19799.00,2.27,9230.57,todos,JAL,44815.00
20/06/16,20290.00,2.57,10313.43,todos,JAL,51904.00
27/06/16,20775.00,2.71,10982.00,todos,JAL,56099.00
04/07/16,18716.00,2.61,9498.43,todos,JAL,47773.00
11/07/16,20992.00,2.53,10555.43,todos,JAL,52896.00
18/07/16,20355.00,2.51,10203.57,todos,JAL,51070.00
25/07/16,20903.00,2.46,10316.14,todos,JAL,51310.00
01/08/16,20418.00,2.57,10406.00,todos,JAL,52424.00
08/08/16,19635.00,2.78,10571.71,todos,JAL,54367.00
15/08/16,19895.00,2.41,9694.71,todos,JAL,47968.00
22/08/16,18734.00,2.25,8678.86,todos,JAL,42018.00
29/08/16,17269.00,2.40,8307.43,todos,JAL,40883.00
05/09/16,18339.00,2.29,8606.86,todos,JAL,41909.00
12/09/16,17139.00,2.39,8265.14,todos,JAL,40717.00
19/09/16,18369.00,2.37,8810.86,todos,JAL,43307.00
26/09/16,18909.00,2.41,9170.43,todos,JAL,45284.00
03/10/16,16501.00,2.51,8266.29,todos,JAL,41363.00
10/10/16,16455.00,2.46,8109.71,todos,JAL,40313.00
17/10/16,16497.00,2.58,8374.00,todos,JAL,42121.00
24/10/16,16478.00,2.51,8180.14,todos,JAL,40783.00
31/10/16,18469.00,2.32,8736.71,todos,JAL,42688.00
07/11/16,18257.00,2.27,8381.00,todos,JAL,40410.00
14/11/16,16123.00,2.45,7875.71,todos,JAL,39007.00
21/11/16,17445.00,2.41,8480.86,todos,JAL,41921.00
28/11/16,17133.00,2.40,8312.71,todos,JAL,41056.00
05/12/16,14881.00,2.54,7503.14,todos,JAL,37641.00
12/12/16,13124.00,2.51,6526.29,todos,JAL,32560.00
19/12/16,15201.00,2.56,7670.43,todos,JAL,38492.00
26/12/16,15719.00,2.67,8153.29,todos,JAL,41354.00
02/01/17,19183.00,2.23,8761.57,todos,JAL,42148.00
09/01/17,15661.00,2.41,7612.71,todos,JAL,37628.00
16/01/17,16239.00,2.32,7679.71,todos,JAL,37519.00
23/01/17,16024.00,2.47,7897.86,todos,JAL,39261.00
30/01/17,14105.00,2.61,7200.14,todos,JAL,36296.00
06/02/17,12797.00,2.75,6844.14,todos,JAL,35112.00
13/02/17,13493.00,2.66,7031.00,todos,JAL,35724.00
20/02/17,13737.00,2.80,7450.57,todos,JAL,38417.00
27/02/17,12429.00,2.64,6432.29,todos,JAL,32597.00
06/03/17,13762.00,2.44,6741.29,todos,JAL,33427.00
13/03/17,13281.00,2.54,6680.86,todos,JAL,33485.00
20/03/17,12996.00,2.54,6526.43,todos,JAL,32689.00
27/03/17,12868.00,2.47,6361.57,todos,JAL,31663.00
03/04/17,13099.00,2.42,6351.57,todos,JAL,31362.00
10/04/17,13039.00,2.51,6502.86,todos,JAL,32481.00
17/04/17,13271.00,2.58,6749.71,todos,JAL,33977.00
24/04/17,12523.00,2.76,6691.00,todos,JAL,34314.00
01/05/17,12898.00,2.67,6745.43,todos,JAL,34320.00
08/05/17,13530.00,2.65,7038.86,todos,JAL,35742.00
15/05/17,12950.00,2.68,6770.86,todos,JAL,34446.00
22/05/17,13654.00,2.52,6826.43,todos,JAL,34131.00
29/05/17,13488.00,2.63,6974.86,todos,JAL,35336.00
05/06/17,12853.00,2.34,6120.71,todos,JAL,29992.00
12/06/17,13118.00,2.35,6272.71,todos,JAL,30791.00
19/06/17,13392.00,2.38,6465.57,todos,JAL,31867.00
26/06/17,14081.00,2.46,6893.86,todos,JAL,34176.00
03/07/17,14158.00,2.66,7383.71,todos,JAL,37528.00
10/07/17,14562.00,2.31,6880.86,todos,JAL,33604.00
17/07/17,14444.00,2.77,7768.29,todos,JAL,39934.00
24/07/17,13944.00,2.64,7256.86,todos,JAL,36854.00
31/07/17,13145.00,2.56,6624.00,todos,JAL,33223.00
07/08/17,14870.00,2.46,7357.71,todos,JAL,36634.00
14/08/17,15197.00,2.27,7100.71,todos,JAL,34508.00
21/08/17,15324.00,2.66,8027.00,todos,JAL,40865.00
28/08/17,14346.00,2.32,6758.43,todos,JAL,32963.00
04/09/17,15617.00,2.16,6976.86,todos,JAL,33221.00
11/09/17,15236.00,2.21,6966.29,todos,JAL,33528.00
18/09/17,16737.00,2.17,7470.14,todos,JAL,35554.00
25/09/17,14838.00,2.21,6786.43,todos,JAL,32667.00
02/10/17,14835.00,2.19,6750.86,todos,JAL,32421.00
09/10/17,14778.00,2.24,6810.57,todos,JAL,32896.00
16/10/17,15790.00,2.17,7123.29,todos,JAL,34073.00
23/10/17,15885.00,2.03,6876.57,todos,JAL,32251.00
30/10/17,16540.00,1.98,7017.86,todos,JAL,32585.00
06/11/17,15924.00,2.01,6811.86,todos,JAL,31759.00
13/11/17,16350.00,1.99,6974.43,todos,JAL,32471.00
20/11/17,14725.00,2.12,6521.29,todos,JAL,30924.00
27/11/17,14372.00,2.16,6477.57,todos,JAL,30971.00
04/12/17,13288.00,2.08,5830.57,todos,JAL,27526.00
11/12/17,13391.00,2.02,5768.29,todos,JAL,26987.00
18/12/17,12999.00,2.24,5986.00,todos,JAL,28903.00
25/12/17,13073.00,2.35,6251.00,todos,JAL,30684.00
01/01/18,15608.00,2.25,6323.88,todos,JAL,34983.00
08/01/18,15657.00,2.20,7147.14,todos,JAL,34373.00
15/01/18,15364.00,2.09,6777.29,todos,JAL,32077.00
22/01/18,15003.00,2.04,6489.86,todos,JAL,30426.00
29/01/18,15308.00,2.08,6735.14,todos,JAL,31838.00
05/02/18,15354.00,2.04,6657.14,todos,JAL,31246.00
12/02/18,14873.00,2.17,6733.86,todos,JAL,32264.00
